WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
0.05,-0.0,0.05,-0.16,Neutral,-0.1,66.03951683643821
0.13,-0.18,0.31,0.05,Neutral,0.9,73.52708341636568
0.17,-0.26,0.43,0.2,Neutral,-0.2,68.31397689174496
0.36,-0.25,0.61,0.3,Neutral,0.3,63.764996656084655
0.29,-0.07,0.36,0.31,Neutral,-0.4,64.48502096462376
0.54,0.17,0.37,0.14,Neutral,0.8,70.06831788342757
0.52,-0.2,0.72,-0.11,Neutral,0.5,79.70510103430745
0.32,0.13,0.19,-0.38,Neutral,0.6,80.81042469899889
0.39,0.17,0.22,-0.65,Neutral,0.9,73.55405029336839
0.42,0.21,0.21,-0.84,Neutral,0.9,65.18462658812084
0.02,0.16,-0.14,-0.97,Neutral,-0.1,56.285179195616045
-0.14,-0.3,0.1599999999999999,-0.92,Neutral,1.1,67.16716542525107
0.2,-0.3,0.5,-0.85,La Nina,-0.5,73.14792033796137
0.09,0.01,0.08,-0.7,La Nina,1.5,80.02051363520832
0.15,0.1,0.0499999999999999,-0.5,La Nina,0.5,78.63038866831971
0.03,-0.11,0.14,-0.22,Neutral,0.4,75.73101722451396
-0.08,-0.14,0.06,-0.01,Neutral,-0.1,75.2445184612674
0.01,-0.31,0.32,0.09,Neutral,0.2,74.88995643019919
0.15,-0.21,0.36,0.23,Neutral,-0.3,81.01528012548353
0.32,-0.35,0.6699999999999999,0.49,Neutral,-0.9,85.22661948225338
0.22,-0.14,0.36,0.76,Neutral,0.4,83.44004300294097
0.48,0.01,0.47,0.9,Neutral,-0.1,79.13406301275732
0.46,0.05,0.41,0.81,Neutral,1.0,75.33714845611422
0.43,0.28,0.1499999999999999,0.75,Neutral,-0.0,84.15512401875142
0.25,0.31,-0.06,0.72,El Nino,-1.4,92.69131382373276
0.21,0.18,0.03,0.71,El Nino,-0.3,98.57888427511251
0.46,0.16,0.3,0.66,El Nino,0.1,94.20548581196464
0.68,-0.15,0.8300000000000001,0.54,El Nino,-0.4,81.31544354686955
0.55,-0.33,0.8800000000000001,0.45,Neutral,-0.5,75.74601633296587
0.52,-0.28,0.8,0.28,Neutral,-0.4,75.031867914463
0.71,-0.7,1.41,0.14,Neutral,-0.1,80.68338032047744
0.48,-0.9,1.38,0.19,Neutral,-1.2,88.87953802501241
0.65,-1.13,1.7799999999999998,0.35,Neutral,-0.4,103.2303391128521
0.8,-0.98,1.78,0.51,Neutral,-0.8,121.31923868692084
0.64,-0.18,0.8200000000000001,0.55,Neutral,-0.6,125.433031221055
0.78,0.59,0.19,0.5,Neutral,0.2,124.00066385510716
0.45,0.66,-0.21,0.48,Neutral,-0.1,117.38533671263676
0.5,0.62,-0.12,0.4,Neutral,-0.1,118.8147638255028
0.53,0.61,-0.0799999999999999,0.19,Neutral,0.2,109.86358955778232
0.57,0.18,0.3899999999999999,-0.08,Neutral,0.4,97.22447969292224
0.58,0.0,0.58,-0.3,Neutral,-0.4,84.96923592448339
0.54,0.18,0.36,-0.41,Neutral,0.4,83.416492802087
0.29,0.45,-0.16,-0.57,Neutral,1.1,76.58134536694081
0.04,0.36,-0.32,-0.89,Neutral,0.9,88.43868508152298
0.24,0.28,-0.04,-1.17,Neutral,0.5,88.21720381221199
0.22,0.15,0.07,-1.27,Neutral,0.7,80.14746140991927
0.14,-0.05,0.19,-1.19,La Nina,1.8,69.4194046083975
-0.29,-0.56,0.2700000000000001,-1.05,La Nina,1.9,63.06943598259614
